date,solar,wind_onshore,wind_offshore
2016-03-14,133963,88899,3352
2016-03-15,35237,146595,17424
2016-03-16,108365,248037,11192
2016-03-17,157923,68932,13731
2016-03-18,111763,102600,31402
2016-03-19,74605,89311,39316
2016-03-20,63358,226614,53537
2016-03-21,62178,259128,58084
2016-03-22,69934,146169,29141
2016-03-23,62736,116769,22900
2016-03-24,72096,65666,13244
2016-03-25,34324,156139,23279
2016-03-26,126358,200220,46034
2016-03-27,88524,333031,58763
2016-03-28,93273,432522,64257
2016-03-29,106981,367739,44963
2016-03-30,70167,249105,47856
2016-03-31,89113,103147,12120
2016-04-01,105308,86099,10450
2016-04-02,141475,154445,20612
2016-04-03,124608,82672,21078
2016-04-04,114059,107096,31176
2016-04-05,96945,122781,21676
2016-04-06,111125,359008,55328
2016-04-07,95056,283238,62561
2016-04-08,112626,74941,13328
2016-04-09,114944,58812,18058
2016-04-10,128074,119469,36526
2016-04-11,159552,170350,57915
2016-04-12,125520,64982,31360
2016-04-13,104907,43719,4373
2016-04-14,124877,54726,2343
2016-04-15,77282,211926,4455
2016-04-16,94122,284207,37532
2016-04-17,87317,143688,46873
2016-04-18,119691,198946,55811
2016-04-19,127560,340298,55757
2016-04-20,191031,159500,22014
2016-04-21,208665,86099,15858
2016-04-22,171324,118509,31003
2016-04-23,89697,165497,31783
2016-04-24,136642,156455,17770
2016-04-25,119733,239357,18945
2016-04-26,96569,256215,14400
2016-04-27,106074,347952,42850
2016-04-28,146864,167434,16612
2016-04-29,161031,247087,57592
2016-04-30,156374,122177,28056
2016-05-01,147930,177828,2043
2016-05-02,197182,55825,26062
2016-05-03,139147,187669,24723
2016-05-04,174185,79882,5080
2016-05-05,212709,128697,21925
2016-05-06,217568,210214,45359
2016-05-07,215961,265390,49968
2016-05-08,217819,339914,53206
2016-05-09,207426,309194,51794
2016-05-10,157712,212775,45890
2016-05-11,180637,250119,54319
2016-05-12,129860,277926,41750
2016-05-13,135923,184843,32092
2016-05-14,132007,332322,54862
2016-05-15,130936,336757,54931
2016-05-16,115657,229171,35108
2016-05-17,113155,168472,24905
2016-05-18,151709,77705,11241
2016-05-19,119795,54146,5930
2016-05-20,144399,149612,29587
2016-05-21,186838,108028,25484
2016-05-22,185446,201221,16546
2016-05-23,83885,148830,30268
2016-05-24,57672,150837,29069
2016-05-25,100660,24698,2368
2016-05-26,169095,20163,1532
2016-05-27,143398,32869,4401
2016-05-28,160592,69575,15894
2016-05-29,124928,127405,35700
2016-05-30,121134,189884,56139
2016-05-31,141404,63163,27737
2016-06-01,0,14701,7310
2016-06-02,119310,63437,44925
2016-06-03,135724,86195,15873
2016-06-04,163819,47277,6971
2016-06-05,169853,40895,10133
2016-06-06,217346,65887,3670
2016-06-07,214922,43332,5207
2016-06-08,160812,124352,38380
2016-06-09,155674,80689,20021
2016-06-10,221338,117144,24439
2016-06-11,135321,37762,6090
2016-06-12,120639,62573,22414
2016-06-13,116433,74750,30900
2016-06-14,135292,56412,10144
2016-06-15,142055,51798,626
2016-06-16,136232,30879,180
2016-06-17,117880,153780,7386
2016-06-18,166885,118523,22940
2016-06-19,138536,66990,20360
2016-06-20,185490,179836,45776
2016-06-21,131174,90108,5467
2016-06-22,185633,44158,10499
2016-06-23,229710,131999,17945
2016-06-24,198066,84901,15554
2016-06-25,134966,124690,6863
2016-06-26,160405,144871,22705
2016-06-27,168831,143910,29315
2016-06-28,177453,62440,10970
2016-06-29,181575,201032,32839
2016-06-30,123377,130760,20892
2016-07-01,167248,207321,45665
2016-07-02,105328,213075,54088
2016-07-03,161292,144097,40701
2016-07-04,183603,46780,9069
2016-07-05,166121,293689,43378
2016-07-06,182117,374259,56270
2016-07-07,217734,80268,32723
2016-07-08,170852,193411,36637
2016-07-09,180402,172714,29551
2016-07-10,213022,142020,47064
2016-07-11,167828,272361,57834
2016-07-12,118016,125060,24756
2016-07-13,123384,60190,6177
2016-07-14,117362,253172,50972
2016-07-15,128878,243416,44536
2016-07-16,157542,95689,30621
2016-07-17,140821,90790,14770
2016-07-18,185380,87597,15549
2016-07-19,208662,38999,4445
2016-07-20,222211,101932,37263
2016-07-21,139662,76323,6525
2016-07-22,172879,59259,9725
2016-07-23,138542,35681,3553
2016-07-24,164700,16483,659
2016-07-25,159505,32598,13305
2016-07-26,151567,35056,4049
2016-07-27,145017,69132,17375
2016-07-28,143426,45261,3023
2016-07-29,149904,117321,8138
2016-07-30,163955,98902,10053
2016-07-31,96642,61294,9032
2016-08-01,171734,111150,25007
2016-08-02,82123,83492,7795
2016-08-03,101857,225755,49820
2016-08-04,136501,185375,52331
2016-08-05,104522,109572,26521
2016-08-06,141835,135687,26460
2016-08-07,197997,158079,61368
2016-08-08,172574,280665,69369
2016-08-09,110428,131368,59944
2016-08-10,127444,127064,51790
2016-08-11,145305,170483,23203
2016-08-12,63615,150696,39819
2016-08-13,175707,216898,46718
2016-08-14,166927,79954,18463
2016-08-15,173784,58966,6105
2016-08-16,183883,58043,5268
2016-08-17,188173,41371,4165
2016-08-18,161677,38925,8881
2016-08-19,165880,42362,8205
2016-08-20,110687,111430,36174
2016-08-21,125985,206833,39921
2016-08-22,125144,145237,34054
2016-08-23,172381,54803,4665
2016-08-24,195918,101407,18977
2016-08-25,198825,169819,11284
2016-08-26,191760,107739,18841
2016-08-27,185592,76741,14550
2016-08-28,162508,175438,40040
2016-08-29,109679,189564,39198
2016-08-30,178615,68097,18592
2016-08-31,188216,53879,8291
2016-09-01,147093,64270,13675
2016-09-02,164305,68162,36388
2016-09-03,136417,96109,13328
2016-09-04,77086,250789,21518
2016-09-05,92803,130600,6530
2016-09-06,159639,41336,10138
2016-09-07,178171,73952,4379
2016-09-08,177842,97143,17194
2016-09-09,154788,51738,10522
2016-09-10,162473,40576,19248
2016-09-11,146757,53067,18512
2016-09-12,164413,78298,12261
2016-09-13,163844,133806,27891
2016-09-14,161392,179622,45844
2016-09-15,153040,216134,47712
2016-09-16,99220,71468,15909
2016-09-17,49467,162221,20041
2016-09-18,64651,165876,20308
2016-09-19,60987,52434,3115
2016-09-20,79435,20115,4047
2016-09-21,130512,34626,3694
2016-09-22,147499,22484,8851
2016-09-23,123528,59862,14389
2016-09-24,147245,67809,23960
2016-09-25,153540,134854,41426
2016-09-26,110893,46243,3304
2016-09-27,123618,58227,32733
2016-09-28,101625,390735,72372
2016-09-29,127189,441280,73044
2016-09-30,87732,162301,61374
2016-10-01,65261,100690,10411
2016-10-02,69868,170908,12526
2016-10-03,66692,142989,50572
2016-10-04,77489,305207,58025
2016-10-05,108609,317105,57976
2016-10-06,28994,277534,59021
2016-10-07,43969,109116,38117
2016-10-08,56457,104464,32128
2016-10-09,68377,39412,24605
2016-10-10,64502,17282,18349
2016-10-11,48411,113321,64874
2016-10-12,47961,130584,66874
2016-10-13,53253,267165,64475
2016-10-14,69782,345609,73392
2016-10-15,55678,159511,50843
2016-10-16,97233,88947,36395
2016-10-17,46779,104500,28094
2016-10-18,42428,124770,39730
2016-10-19,38170,184393,21413
2016-10-20,38409,88975,55809
2016-10-21,28980,64926,58103
2016-10-22,42323,38217,36403
2016-10-23,60489,52405,20450
2016-10-24,34941,77217,34328
2016-10-25,24538,37079,5478
2016-10-26,35895,39984,38314
2016-10-27,46405,140728,54145
2016-10-28,0,17779,5075
2016-10-29,49990,224760,48860
2016-10-30,65403,87708,7662
2016-10-31,62067,46296,10886
2016-11-01,53600,178954,67687
2016-11-02,39838,369823,55773
2016-11-03,50599,95622,22061
